IFX,SDF
8.01,129.32
8.15,139.28
8.18,140.35
8.07,149.79
8.75,145.32
8.67,147.35
8.79,149.25
8.85,149.2
8.87,143.9
8.85,148.96
8.52,145.88
8.55,148.47
8.12,144.32
8.03,147.75
8.15,147.47
8.05,150
8.12,161.87
8.12,161.87
8.12,161.87
8.12,161.87
8.16,161.99
8.07,162.75
8.07,162.75
8.07,162.75
8.13,167.35
7.97,170.44
7.68,165.75
7.36,163.99
7.34,170.66
7.01,171.88
6.99,170.22
6.77,169.64
6.94,175.53
6.69,177.72
6.44,159.36
6.77,150.1
6.72,149.14
6.47,137.83
6.5,151.22
6.08,149.93
6.24,165.57
6.31,169.87
6.16,162.92
6.37,175.36
6.74,166.66
6.77,168.28
7.2,175.09
7.24,178.75
7.01,174
6.7,176.58
5.79,168.47
5.6,173.74
5.72,167.25
5.74,182.76
5.81,182.33
5.67,189.81
5.46,184.13
5.5,189.89
5.4,195.85
5.43,195.28
5.41,195.89
5.31,202.2
5.35,200.98
5.44,209.21
5.43,195.64
5.33,193.89
5.36,192.76
5.34,191.8
5.06,190.74
5.12,187.87
4.92,192.76
4.88,186.18
4.76,172.33
4.72,176.33
4.73,183.01
4.56,192
4.44,197.65
4.18,184.5
4.31,195.62
4.19,190.25
4.08,177.15
4.08,177.15
4.08,177.15
4.51,193.08
4.41,197.75
4.44,205.5
4.4,207.29
4.45,207.31
4.87,213.43
5.07,220.01
4.88,225.17
4.94,225.36
5.08,223
4.74,221.99
4.66,228.28
4.6,227.51
4.73,226.49
4.66,241.68
4.57,248
5.02,260.42
4.96,241.2
5.23,258.44
5.02,278.65
5.14,275
5.57,282.1
5.75,267
5.81,264.14
5.96,273.37
6.02,262.36
6.01,269.59
6.31,269.37
6.32,267.13
6.46,267.94
6.67,282
6.59,290.06
6.42,284.29
6.51,284.5
6.76,295.7
6.77,318.18
6.81,315.33
6.9,310.15
7.11,332.3
6.72,313.46
6.26,312.96
6.57,317.19
6.29,302.14
6.135,297.49
6.06,288.27
6.25,296.82
5.625,307
5.79,301.34
5.67,305.2
6.09,316.16
6.2,329.96
6.23,329.49
6.06,322.43
5.9,328.5
5.855,333.28
5.955,349.76
6.285,351.6
6.34,357.83
6.495,370.44
6.67,373.15
6.63,356.97
6.515,376.02
6.35,383.61
6.19,376.5
6.04,369.36
6.13,362.08
5.805,368.57
5.685,363.07
5.53,366.3
4.85,354.93
4.69,331.78
4.62,313.52
4.71,326.5
4.785,325.25
4.56,325.55
4.82,343.01
4.615,350.99
4.39,345
4.52,351.74
4.365,339.5
4.48,324.5
4.91,334.15
5.32,304.77
5.24,75.79
4.845,75.46
5.08,69.57
4.83,65.33
5.085,65.45
4.84,69.81
5.795,71.29
5.56,73.65
5.66,78.36
5.67,77.65
5.945,76.8
6.045,77.46
6.12,78.96
5.66,82.28
5.95,80
5.85,82.8
5.9,80.4
6.25,77.14
6.225,71.94
5.88,71.24
5.8,65.63
6.11,67.39
6.04,62.8
5.945,62.4
6.1,62
6.08,68.05
5.935,63.87
5.63,60.97
5.2,58.43
5.04,60.08
5.555,57
5.28,57.07
5.35,57.26
5.275,56.72
5.175,56.68
4.9,52.86
3.66,45.84
3.915,48.64
4.05,45.75
4.1,40.2
4.115,43.56
3.68,38.14
3.89,39.67
3.685,37.55
3.18,38.78
2.745,38.63
3.14,44.23
2.78,43.86
2.43,38.83
2.565,35.65
2.685,33.51
2.765,34.58
2.615,35.73
2.685,32.99
2.57,31.49
2.39,30.51
2.12,30.09
2.045,28.65
2.355,32.83
2.46,30.32
2.455,30.68
2.7,31.43
3.055,35.53
2.865,34.27
2.585,31.36
2.7,33.23
2.64,35.27
2.495,33.36
2.305,31.71
2.265,31.59
2.21,32.58
2.14,31.91
2.11,32.17
1.86,30.48
1.75,28.42
1.715,27.72
1.92,29.55
2.07,31.9
2.005,32.58
1.93,35.58
1.85,35.26
1.685,31.78
1.655,32.3
1,32.06
0.975,32.42
0.94,30.25
0.88,32.79
0.785,33.36
0.755,34.6
0.68,36.21
0.65,36
0.665,36.83
0.685,37.88
0.66,38.23
0.66,39.99
0.66,37.62
0.7,37.7
0.805,37.02
0.805,37.02
0.805,37.02
0.805,37.02
0.825,38.9
0.96,39.97
0.96,39.97
0.96,39.97
1.005,41.29
1.14,42.17
1.175,43
1.19,43.06
1.065,42.36
0.97,40.37
0.915,37.88
0.93,40
0.895,37.64
0.84,38.8
0.705,38.95
0.815,36.95
0.725,35.01
0.75,36.56
0.715,36.48
0.68,36.21
0.63,37.3
0.67,37.42
0.73,38.73
0.715,38.23
0.7,37.15
0.665,37.2
0.665,37.01
0.69,39.85
0.725,41.79
0.82,44.09
0.85,45.27
0.79,42.64
0.76,42.96
0.725,41.86
0.725,42.41
0.695,42.81
